iter	Logloss
0	0.6911479905
1	0.6890753882
2	0.6871086938
3	0.6850924219
4	0.6832510994
5	0.6814171746
6	0.6795923823
7	0.6778371402
8	0.6759342784
9	0.6741765749
10	0.672357205
11	0.670896898
12	0.6691919554
13	0.6675119264
14	0.6658231417
15	0.6641912233
16	0.6626766069
17	0.6611786434
18	0.6596791131
19	0.6582123983
20	0.6567031906221	0.6552600815222	0.6539259139223	0.6525049573224	0.6511755852225	0.6499361901226	0.6487195378227	0.6474402246228	0.6461183548229	0.6449668248330	0.6438750857
31	0.6427266212
32	0.6415715172333	0.6403892926334	0.6392956825
35	0.638100179
36	0.636935561
37	0.6357620693
38	0.6347091357
39	0.6336708795
40	0.632664022
41	0.6316788537
42	0.6307914416
43	0.6297506832
44	0.6287961324
45	0.627856854
46	0.6270402727
47	0.6260531153
48	0.6251148269
49	0.6241976647
50	0.6233438219
51	0.6224103564
52	0.6215880757
53	0.6208339373
54	0.6200585002
55	0.6192994754
56	0.618478716
57	0.6177246048
58	0.6169327191
59	0.6161808059
60	0.6154026031
61	0.6147494589
62	0.6140337717
63	0.6132399831
64	0.6125014623
65	0.6117905481
66	0.611062949
67	0.6104123388
68	0.6098623639
69	0.6092733565
70	0.6087429864
71	0.6081061136
72	0.6074744724
73	0.6068798792
74	0.6062444414
75	0.6056943848
76	0.6050732158
77	0.6044676372
78	0.6038680349
79	0.603365662
80	0.6028415907
81	0.6022800218
82	0.6017386073
83	0.6012464523
84	0.6005855742
85	0.6001087098
86	0.5996105557
87	0.5991327377
88	0.5986130987
89	0.5980425698
90	0.5975419044
91	0.5969565346
92	0.5963924726
93	0.5959006537
94	0.5954313823
95	0.594902529
96	0.5944584165
97	0.5939513933
98	0.5934958231
99	0.593035153
100	0.5925610088
101	0.5921415329
102	0.5916825294
103	0.5912074407
104	0.5908068203
105	0.5903883117
106	0.5900073233
107	0.5895480065
108	0.5891613824
109	0.5887298039
110	0.5882812
111	0.5878714607
112	0.5874335017
113	0.5870185216
114	0.5866337413
115	0.5862194334
116	0.5858417329
117	0.585515976
118	0.5851721355
119	0.5847675823
120	0.5844399271
121	0.5840543565
122	0.5837050347
123	0.5832650185
124	0.5829675357
125	0.5826462428
126	0.5823225112
127	0.5820598194
128	0.5817429679
129	0.5813679332
130	0.5809741338
131	0.5806616193
132	0.5803535371
133	0.5800778616
134	0.5797206107
135	0.5793980417
136	0.5791057632
137	0.5787025088
138	0.578432787
139	0.5781408809
140	0.5778583481
141	0.5775882176
142	0.5772635233
143	0.5769823301
144	0.5766992705
145	0.5764146487
146	0.5761731693
147	0.5759244328
148	0.5756486166
149	0.5753205572
150	0.5750479607
151	0.5747503099
152	0.5744343167
153	0.5741068386
154	0.5738214947
155	0.5735848608
156	0.5732356662
157	0.5729618118
158	0.5727521442
159	0.5724379948
160	0.5721281914
161	0.5718754405
162	0.5716229348
163	0.5713988804
164	0.5711077599
165	0.5708192053
166	0.5706801914
167	0.5703845978
168	0.5700787726
169	0.5698101725
170	0.569603425
171	0.5693290302
172	0.5690674101
173	0.5688283739
174	0.5685659726
175	0.568304407
176	0.5679860388
177	0.5677324023
178	0.5675450234
179	0.5673631623
180	0.5671321506
181	0.5669303077
182	0.5666706676
183	0.5663621766
184	0.5661002522
185	0.5658015478
186	0.5654787654
187	0.5651990436
188	0.5649252619
189	0.5646502086
190	0.5644386655
191	0.5642076492
192	0.56393706
193	0.5637244134
194	0.5634497234
195	0.5632502647
196	0.5629597709
197	0.5626932235
198	0.5624668485
199	0.5622768584
200	0.5620393481
201	0.561835784
202	0.5616719927
203	0.5614257722
204	0.5611268452
205	0.5608748572
206	0.5605810165
207	0.5602703276
208	0.5600757009
209	0.5598662376
210	0.5596988633
211	0.5595079286
212	0.5592912674
213	0.5591445015
214	0.5588838305
215	0.5586359206
216	0.5584297135
217	0.5582072031
218	0.5580304146
219	0.5578941209
220	0.5576207524
221	0.5574300766
222	0.5571522259
223	0.5568983578
224	0.5567259471
225	0.5565326191
226	0.5563198862
227	0.5561077799
228	0.5558861869
229	0.5556413423
230	0.5553868112
231	0.5551397551
232	0.554922726
233	0.554745161
234	0.554523359
235	0.5543028287
236	0.5541307631
237	0.5539651462
238	0.5537544614
239	0.5536365418
240	0.5534124056
241	0.5531990551
242	0.5529723803
243	0.5527518091
244	0.5525196666
245	0.5523778529
246	0.5521618843
247	0.5519690922
248	0.5517978282
249	0.5516156015
250	0.5513864676
251	0.551152386
252	0.5508847418
253	0.5506158942
254	0.550446583
255	0.5502741223
256	0.5501074496
257	0.5498715719
258	0.5496061121
259	0.5494401591
260	0.5492510569
261	0.5490452653
262	0.5489019349
263	0.5486260596
264	0.5484411285
265	0.5482877277
266	0.5481229737
267	0.5478862376
268	0.5477451143
269	0.5475203332
270	0.547322598
271	0.5471597785
272	0.5469580355
273	0.5467153595
274	0.5465260665
275	0.5463338693
276	0.5462010497
277	0.5459479514
278	0.5457867872
279	0.5456478414
280	0.5454648041
281	0.5452436561
282	0.5451087384
283	0.54493209228284	0.54482895028285	0.54465144428286	0.54449580028287	0.54431871928288	0.54414300028289	0.54398835929290	0.5437989782291	0.54367060662292	0.54348155882293	0.54333671842294	0.5431830906295	0.5451414487
296	0.5449395243
297	0.5447617537
2298	0.5424928529299	0.544430151
1

