iter	Logloss
0	0.6912741864
1	0.6895573518
2	0.6877652482
3	0.6860047027
4	0.6844640616
5	0.6826614426
6	0.6807548834
7	0.6791307266
8	0.6773799451
9	0.6760675933
10	0.6741031953
11	0.6724854094
12	0.6709611046
13	0.6692643035
14	0.6676019875
15	0.6662044363
16	0.6647117141
17	0.6627070605
18	0.6610424267
19	0.6592620743
20	0.6577354333
21	0.6562345429
22	0.6547863807
23	0.6531093519
24	0.6513246155
25	0.649982753
26	0.6485488441
27	0.6466314583
28	0.6454295999
29	0.6439875091
30	0.6425179787
31	0.6409888421
32	0.6394662291
33	0.6381656663
34	0.6366884865
35	0.6352315483
36	0.6339428754
37	0.6324823387
38	0.6309057201
39	0.6295447841
40	0.6282301982
41	0.6269703553
42	0.6255567175
43	0.6237137453
44	0.6226273222
45	0.6210569201
46	0.6196389091
47	0.6182232112
48	0.6168029353
49	0.6154086521
50	0.6139766682
51	0.6124427189
52	0.6113198733
53	0.6094540557
54	0.6083715739
55	0.6068913367
56	0.6059100401
57	0.6041749883
58	0.6025250387
59	0.6014573996
60	0.599945611
61	0.5987628823
62	0.5973158072
63	0.5961194512
64	0.5949671763
65	0.5939070693
66	0.5927896033
67	0.5917247077
68	0.590522459
69	0.5894695675
70	0.587889548
71	0.5864425883
72	0.5853810674
73	0.5840704967
74	0.5829147875
75	0.58150744
76	0.5801969525
77	0.5790199153
78	0.5776242683
79	0.5763317026
80	0.5750405449
81	0.5739411027
82	0.5728978903
83	0.5717918825
84	0.5707020207
85	0.5696490634
86	0.5681850281
87	0.5668484821
88	0.5658017654
89	0.5646724048
90	0.5634979874
91	0.5622127748
92	0.5611034777
93	0.5599432189
94	0.5587724261
95	0.5570463053
96	0.5561727889
97	0.5550639612
98	0.5540357649
99	0.5531396705
100	0.5519990691
101	0.5509792
102	0.5497444619
103	0.5482602509
104	0.5470706456
105	0.546183243
106	0.5452442001
107	0.5442248507
108	0.5432352654
109	0.5419782618
110	0.5405950808
111	0.5396840577
112	0.5384383447
113	0.5375088172
114	0.5365933511
115	0.535607468
116	0.5345206432
117	0.5331712718
118	0.5320476683
119	0.531151647
120	0.5297168439
121	0.5289750162
122	0.5278161836
123	0.5267492197
124	0.5259292307
125	0.5248407673
126	0.5237493953
127	0.5227811879
128	0.5217634251
129	0.5207014278
130	0.5195956125
131	0.5187056644
132	0.5174616628
133	0.5166457125
134	0.5157128218
135	0.514705055
136	0.5135050617
137	0.51232591
138	0.5114543441
139	0.5106515612
140	0.5098348751
141	0.5088701501
142	0.5078667907
143	0.5067717112
144	0.5055246857
145	0.5045290923
146	0.5036077456
147	0.5026126891
148	0.5018178376
149	0.5004916401
150	0.4994355058
151	0.4987269877
152	0.4977417511
153	0.4967448384
154	0.4958443425
155	0.4949143349
156	0.4938203391
157	0.4928775374
158	0.4919651453
159	0.4909466979
160	0.4901245658
161	0.4890967178
162	0.4881155752
163	0.4872532597
164	0.4863348166
165	0.4854725237
166	0.484531218
167	0.4835725348
168	0.4826589976
169	0.4818950046
170	0.4809193598
171	0.4801326849
172	0.4791222777
173	0.4783155764
174	0.4775243497
175	0.4766731846
176	0.4759823471
177	0.4751182745
178	0.4741569314
179	0.4732320793
180	0.4722369434
181	0.4714191788
182	0.4706599044
183	0.4697488447
184	0.4688731512
185	0.4679846034
186	0.4672011833
187	0.4664208041
